id,name,realName
393,392,Petroica macrocephala macrocephala,Petroica macrocephala macrocephala
394,393,Petroica australis longipes,Petroica australis longipes
395,394,Prosthemadera novaeseelandiae novaeseelandiae,Tūī
396,395,Asio flammeus,Short-eared owl
397,396,Rhipidura fuliginosa fuliginosa,New Zealand fantail
398,397,Scolopax minor,American woodcock
399,398,Arenaria interpres,Ruddy turnstone
400,399,Arenaria melanocephala,Black turnstone
401,400,Rhipidura fuliginosa placabilis,Rhipidura fuliginosa placabilis
402,401,Limosa limosa,Black-tailed godwit
403,402,Limosa haemastica,Hudsonian godwit
404,403,Limosa fedoa,Marbled godwit
405,404,Phalaropus lobatus,Red-necked phalarope
406,405,Bartramia longicauda,Upland sandpiper
407,406,Limosa lapponica,Bar-tailed godwit
408,407,Aegolius acadicus,Northern saw-whet owl
409,408,Actitis hypoleucos,Common sandpiper
410,409,Trichoglossus haematodus,Coconut lorikeet
411,410,Surnia ulula,Northern hawk-owl
412,411,Polioptila caerulea,Blue-gray gnatcatcher
413,412,Spizella passerina,Chipping sparrow
414,413,Pycnonotus jocosus,Red-whiskered bulbul
415,414,Passerina cyanea,Indigo bunting
416,415,Passerina versicolor,Varied bunting
417,416,Manorina melanocephala,Noisy miner
418,417,Ocyphaps lophotes,Crested pigeon
419,418,Jabiru mycteria,Jabiru
420,419,Pycnonotus cafer,Red-vented bulbul
421,420,Anser cygnoides domesticus,Swan goose
422,421,Picus viridis,European green woodpecker
423,422,Phoebastria nigripes,Black-footed albatross
424,423,Struthio camelus,Common ostrich
425,424,Phoebastria immutabilis,Laysan albatross
426,425,Fulmarus glacialis,Northern fulmar
427,426,Francolinus pondicerianus,Grey francolin
428,427,Cynanthus latirostris,Broad-billed hummingbird
429,428,Podiceps nigricollis,Black-necked grebe
430,429,Podiceps cristatus,Great crested grebe
431,430,Podiceps auritus,Horned grebe
432,431,Dendrocopos major,Great spotted woodpecker
433,432,Podiceps grisegena,Red-necked grebe
434,433,Tachybaptus ruficollis,Little grebe
435,434,Charadrius montanus,Mountain plover
436,435,Phalacrocorax auritus,Double-crested cormorant
437,436,Phalacrocorax carbo,Great cormorant
438,437,Phalacrocorax penicillatus,Brandt's cormorant
439,438,Aechmophorus clarkii,Clark's grebe
440,439,Pelecanus onocrotalus,Great white pelican
441,440,Pelecanus erythrorhynchos,American white pelican
442,441,Zenaida macroura,Mourning dove
443,442,Vanellus miles,Masked lapwing
444,443,Larus occidentalis,Western gull
445,444,Trogon massena,Slaty-tailed trogon
446,445,Larus thayeri,Thayer's gull
447,446,Larus heermanni,Heermann's gull
448,447,Larus livens,Yellow-footed gull
449,448,Larus canus,Common gull
450,449,Larus glaucoides,Iceland gull
451,450,Larus delawarensis,Ring-billed gull
452,451,Trogon collaris,Collared trogon
453,452,Zenaida asiatica,White-winged dove
454,453,Larus fuscus,Lesser black-backed gull
455,454,Larus californicus,California gull
456,455,Prosthemadera novaeseelandiae,Tūī
457,456,Trogon elegans,Elegant trogon
458,457,Larus glaucescens,Glaucous-winged gull
459,458,Trogon citreolus,Citreoline trogon
460,459,Cepphus columba,Pigeon guillemot
461,460,Himantopus leucocephalus,Pied stilt
462,461,Cepphus grylle,Black guillemot
463,462,Anthornis melanura,New Zealand bellbird
464,463,Leptoptilos crumenifer,Marabou stork
465,464,Threskiornis moluccus,Australian white ibis
466,465,Thraupis episcopus,Blue-gray tanager
467,466,Geranoaetus albicaudatus,White-tailed hawk
468,467,Sterna paradisaea,Arctic tern
469,468,Sterna hirundo,Common tern
470,469,Sterna forsteri,Forster's tern
471,470,Lanius excubitor,Great grey shrike
472,471,Pharomachrus mocinno,Resplendent quetzal
473,472,Sterna striata,White-fronted tern
474,473,Stercorarius parasiticus,Parasitic jaeger
475,474,Stercorarius pomarinus,Pomarine jaeger
476,475,Anas gracilis,Grey teal
477,476,Rissa tridactyla,Black-legged kittiwake
478,477,Rynchops niger,Black skimmer
479,478,Alca torda,Razorbill
480,479,Fratercula arctica,Atlantic puffin
481,480,Fratercula cirrhata,Tufted puffin
482,481,Turdus merula,Common blackbird
483,482,Turdus plumbeus,Red-legged thrush
484,483,Turdus grayi,Clay-colored thrush
485,484,Turdus migratorius,American robin
486,485,Turdus viscivorus,Mistle thrush
487,486,Cerorhinca monocerata,Rhinoceros auklet
488,487,Turdus philomelos,Song thrush
489,488,Galbula ruficauda,Rufous-tailed jacamar
490,489,Jacana spinosa,Northern jacana
491,490,Saxicola rubicola,European stonechat
492,491,Upupa epops,Eurasian hoopoe
493,492,Euphagus carolinus,Rusty blackbird
494,493,Gavia pacifica,Pacific loon
495,494,Mimus gilvus,Tropical mockingbird
496,495,Passer italiae,Italian sparrow
497,496,Gavia immer,Common loon
498,497,Gavia stellata,Red-throated loon
499,498,Oenanthe oenanthe,Northern wheatear
500,499,Fregata magnificens,Magnificent frigatebird
501,500,Fregata minor,Great frigatebird
502,501,Falco subbuteo,Eurasian hobby
503,502,Falco mexicanus,Prairie falcon
504,503,Falco femoralis,Aplomado falcon
505,504,Falco peregrinus,Peregrine falcon
506,505,Falco rufigularis,Bat falcon
507,506,Falco sparverius,American kestrel
508,507,Strix varia,Barred owl
509,508,Falco columbarius,Merlin (bird)
510,509,Gallinula chloropus,Common moorhen
511,510,Cardellina pusilla,Wilson's warbler
512,511,Catharus ustulatus,Swainson's thrush
513,512,Falco novaeseelandiae,New Zealand falcon
514,513,Catharus guttatus,Hermit thrush
515,514,Catharus fuscescens,Veery
516,515,Caracara cheriway,Crested caracara
517,516,Herpetotheres cachinnans,Laughing falcon
518,517,Calcarius lapponicus,Lapland longspur
519,518,Milvago chimachima,Yellow-headed caracara
520,519,Ciconia ciconia,White stork
521,520,Mycteria americana,Wood stork
522,521,Mycteria ibis,Yellow-billed stork
523,522,Sialia mexicana,Western bluebird
524,523,Ephippiorhynchus senegalensis,Saddle-billed stork
525,524,Cathartes aura,Turkey vulture
526,525,Myadestes townsendi,Townsend's solitaire
527,526,Cathartes burrovianus,Lesser yellow-headed vulture
528,527,Sarcoramphus papa,King vulture
529,528,Coragyps atratus,Black vulture
530,529,Strix nebulosa,Great grey owl
531,530,Anastomus lamelligerus,African openbill
532,531,Pluvialis squatarola,Grey plover
533,532,Gymnogyps californianus,California condor
534,533,Muscicapa striata,Spotted flycatcher
535,534,Charadrius vociferus,Killdeer
536,535,Charadrius wilsonia,Wilson's plover
537,536,Charadrius melodus,Piping plover
538,537,Phoenicurus phoenicurus,Common redstart
539,538,Phoenicurus ochruros,Black redstart
540,539,Charadrius dubius,Little ringed plover
541,540,Eumomota superciliosa,Turquoise-browed motmot
542,541,Anas querquedula,Garganey
543,542,Himantopus mexicanus,Black-necked stilt
544,543,Haematopus bachmani,Black oystercatcher
545,544,Pica pica,Eurasian magpie
546,545,Haematopus ostralegus,Eurasian oystercatcher
547,546,Haematopus unicolor,Variable oystercatcher
548,547,Vanellus vanellus,Northern lapwing
549,548,Vanellus spinosus,Spur-winged lapwing
550,549,Vanellus armatus,Blacksmith lapwing
551,550,Luscinia svecica,Bluethroat
552,551,Columbina inca,Inca dove
553,552,Recurvirostra avosetta,Pied avocet
554,553,Phasianus colchicus,Common pheasant
555,554,Pluvialis dominica,American golden plover
556,555,Cinclus mexicanus,American dipper
557,556,Erithacus rubecula,European robin
558,557,Melanerpes aurifrons,Golden-fronted woodpecker
559,558,Charadrius hiaticula,Common ringed plover
560,559,Egretta gularis,Western reef heron
561,560,Egretta caerulea,Little blue heron
562,561,Egretta tricolor,Tricolored heron
563,562,Egretta thula,Snowy egret
564,563,Egretta garzetta,Little egret
565,564,Egretta sacra,Pacific reef heron
566,565,Monticola solitarius,Blue rock thrush
567,566,Ardea cocoi,Cocoi heron
568,567,Ardea cinerea,Grey heron
569,568,Ardea herodias,Great blue heron
570,569,Nycticorax nycticorax,Black-crowned night heron
571,570,Turdus rufopalliatus,Rufous-backed thrush
572,571,Ardeola ralloides,Squacco heron
573,572,Nyctanassa violacea,Yellow-crowned night heron
574,573,Aramides cajaneus,Grey-cowled wood rail
575,574,Bubulcus ibis,Western cattle egret
576,575,Butorides virescens,Green heron
577,576,Porphyrio martinicus,American purple gallinule
578,577,Botaurus lentiginosus,American bittern
579,578,Cochlearius cochlearius,Boat-billed heron
580,579,Anhinga novaehollandiae,Australasian darter
581,580,Anhinga rufa,African darter
582,581,Melozone fusca,Canyon towhee
583,582,Aquila chrysaetos,Golden eagle
584,583,Hylocichla mustelina,Wood thrush
585,584,Aphelocoma wollweberi,Mexican jay
586,585,Accipiter striatus,Sharp-shinned hawk
587,586,Accipiter nisus,Eurasian sparrowhawk
588,587,Accipiter gentilis,Northern goshawk
589,588,Egretta rufescens,Reddish egret
590,589,Bucephala clangula,Common goldeneye
591,590,Anous stolidus,Brown noddy
592,591,Actitis macularius,Spotted sandpiper
593,592,Ardea purpurea,Purple heron
